timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744696979,2025-04-15 09:02:59,12,10,2,0.83
1744696980,2025-04-15 09:03:00,12,10,2,0.83
1744697575,2025-04-15 09:12:55,12,9,3,0.75
1744697577,2025-04-15 09:12:57,12,9,3,0.75
1744698178,2025-04-15 09:22:58,12,9,3,0.75
1744698783,2025-04-15 09:33:03,12,9,3,0.75
1744699983,2025-04-15 09:53:03,12,9,3,0.75
1744700581,2025-04-15 10:03:01,12,9,3,0.75
1744701186,2025-04-15 10:13:06,12,9,3,0.75
1744701785,2025-04-15 10:23:05,12,9,3,0.75
1744702394,2025-04-15 10:33:14,12,9,3,0.75
1744703005,2025-04-15 10:43:25,12,10,2,0.83
1744703603,2025-04-15 10:53:23,12,10,2,0.83
1744704206,2025-04-15 11:03:26,12,10,2,0.83
1744704803,2025-04-15 11:13:23,12,10,2,0.83
1744705407,2025-04-15 11:23:27,12,9,3,0.75
1744706006,2025-04-15 11:33:26,12,10,2,0.83
1744706608,2025-04-15 11:43:28,12,11,1,0.92
1744707205,2025-04-15 11:53:25,12,10,2,0.83
1744707808,2025-04-15 12:03:28,12,10,2,0.83
1744708406,2025-04-15 12:13:26,12,10,2,0.83
1744709008,2025-04-15 12:23:28,12,10,2,0.83
1744709606,2025-04-15 12:33:26,12,10,2,0.83
1744710208,2025-04-15 12:43:28,12,10,2,0.83
1744710817,2025-04-15 12:53:37,12,10,2,0.83
1744712079,2025-04-15 13:14:39,12,10,2,0.83
1744712681,2025-04-15 13:24:41,12,9,3,0.75
1744713279,2025-04-15 13:34:39,12,10,2,0.83
1744713880,2025-04-15 13:44:40,12,9,3,0.75
1744714482,2025-04-15 13:54:42,12,9,3,0.75
1744714756,2025-04-15 13:59:16,12,11,1,0.92
1744715096,2025-04-15 14:04:56,12,9,3,0.75
1744715693,2025-04-15 14:14:53,12,9,3,0.75
1744716295,2025-04-15 14:24:55,12,9,3,0.75
1744716929,2025-04-15 14:35:29,12,9,3,0.75
1744717531,2025-04-15 14:45:31,12,11,1,0.92
1744718129,2025-04-15 14:55:29,12,10,2,0.83
1744718734,2025-04-15 15:05:34,12,10,2,0.83
1744719934,2025-04-15 15:25:34,12,10,2,0.83
1744720533,2025-04-15 15:35:33,12,10,2,0.83
1744721134,2025-04-15 15:45:34,12,10,2,0.83
1744721732,2025-04-15 15:55:32,12,10,2,0.83
1744722377,2025-04-15 16:06:17,12,10,2,0.83
1744722975,2025-04-15 16:16:15,12,10,2,0.83
1744723579,2025-04-15 16:26:19,12,11,1,0.92
1744724196,2025-04-15 16:36:36,12,11,1,0.92
1744724794,2025-04-15 16:46:34,12,11,1,0.92
1744725395,2025-04-15 16:56:35,12,11,1,0.92
1744726024,2025-04-15 17:07:04,12,11,1,0.92
1744726624,2025-04-15 17:17:04,12,11,1,0.92
1744727231,2025-04-15 17:27:11,12,11,1,0.92
1744727829,2025-04-15 17:37:09,12,11,1,0.92
1744728431,2025-04-15 17:47:11,12,11,1,0.92
1744729034,2025-04-15 17:57:14,12,11,1,0.92
1744729634,2025-04-15 18:07:14,12,11,1,0.92
1744730238,2025-04-15 18:17:18,12,11,1,0.92
1744730837,2025-04-15 18:27:17,12,11,1,0.92
1744731441,2025-04-15 18:37:21,12,11,1,0.92
1744732040,2025-04-15 18:47:20,12,11,1,0.92
1744732660,2025-04-15 18:57:40,12,11,1,0.92
1744733258,2025-04-15 19:07:38,12,11,1,0.92
1744733859,2025-04-15 19:17:39,12,11,1,0.92
1744734478,2025-04-15 19:27:58,12,11,1,0.92
1744735082,2025-04-15 19:38:02,12,11,1,0.92
1744735680,2025-04-15 19:48:00,12,11,1,0.92
1744736291,2025-04-15 19:58:11,12,11,1,0.92
1744736922,2025-04-15 20:08:42,12,11,1,0.92
1744737519,2025-04-15 20:18:39,12,11,1,0.92
1744738123,2025-04-15 20:28:43,12,11,1,0.92
1744739328,2025-04-15 20:48:48,12,11,1,0.92
1744739951,2025-04-15 20:59:11,12,11,1,0.92
1744740552,2025-04-15 21:09:12,12,11,1,0.92
1744741193,2025-04-15 21:19:53,12,11,1,0.92
1744741806,2025-04-15 21:30:06,12,11,1,0.92
1744742405,2025-04-15 21:40:05,12,11,1,0.92
1744743011,2025-04-15 21:50:11,12,12,0,1.00
1744743610,2025-04-15 22:00:10,12,12,0,1.00
1744744217,2025-04-15 22:10:17,12,12,0,1.00
1744744819,2025-04-15 22:20:19,12,12,0,1.00
1744744820,2025-04-15 22:20:20,12,12,0,1.00
1744745442,2025-04-15 22:30:42,12,12,0,1.00
1744746044,2025-04-15 22:40:44,12,12,0,1.00
1744746643,2025-04-15 22:50:43,12,12,0,1.00
1744747253,2025-04-15 23:00:53,12,12,0,1.00
1744747852,2025-04-15 23:10:52,12,12,0,1.00
1744748455,2025-04-15 23:20:55,12,12,0,1.00
1744749196,2025-04-15 23:33:16,12,12,0,1.00
1744749820,2025-04-15 23:43:40,12,12,0,1.00
1744750437,2025-04-15 23:53:57,12,12,0,1.00
1744751077,2025-04-16 00:04:37,12,12,0,1.00
1744751684,2025-04-16 00:14:44,12,11,1,0.92
